,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-01-02,354.3,-0.9621,0.119,0.817,0.064,340.35,359.0,340.25,6623970.0
2001-01-03,360.05,0.6322,0.084,0.817,0.098,355.0,361.7,353.0,8844088.0
2001-01-04,357.8,0.6648,0.077,0.843,0.08,359.1,366.9,356.2,5982701.0
2001-01-05,364.3,0.9253,0.104,0.744,0.152,356.5,366.8,356.5,7460148.0
2001-01-08,360.2,-0.9638,0.119,0.855,0.026,362.5,367.45,357.25,6842731.0
2001-01-09,357.95,-0.9559,0.121,0.822,0.056,359.4,361.8,357.1,4513682.0
2001-01-10,351.7,-0.5719,0.227,0.773,0.0,358.55,361.45,349.15,4730779.0
2001-01-23,381.65,0.9295,0.036,0.874,0.09,374.75,384.25,374.75,8274005.0
2001-01-24,380.35,-0.9039,0.096,0.864,0.04,384.4,384.5,378.5,5461105.0
2001-01-25,381.7,-0.9838,0.136,0.79,0.073,381.5,383.5,376.65,4489764.0
2001-01-29,377.65,0.9697,0.041,0.829,0.129,380.0,380.0,361.0,5074253.0
2001-01-30,389.65,-0.858,0.117,0.808,0.075,378.55,391.0,378.55,10513293.0
2001-01-31,384.6,-0.5591,0.096,0.843,0.061,405.0,405.0,381.0,5900160.0
2001-02-01,386.15,-0.8302,0.105,0.829,0.066,383.5,388.6,372.7,12741600.0
2001-02-02,394.5,0.9693,0.068,0.714,0.218,384.5,395.9,383.95,10129102.0
2001-02-05,399.15,0.5267,0.118,0.74,0.142,393.1,400.5,390.25,10670248.0
2001-02-06,397.85,0.765,0.064,0.832,0.104,400.0,402.5,396.25,6048694.0
2001-02-07,393.45,0.8388,0.06,0.813,0.127,395.65,397.95,392.0,3637077.0
2001-02-08,395.95,0.8924,0.046,0.826,0.128,391.2,397.45,390.5,4783393.0
2001-02-09,398.9,0.9647,0.069,0.777,0.154,397.0,402.0,394.25,6970040.0
2001-02-12,400.55,-0.9368,0.139,0.84,0.021,396.25,406.4,395.25,6589212.0
2001-02-13,410.05,-0.5802,0.141,0.744,0.115,402.0,411.9,397.5,8532878.0
2001-02-14,415.55,0.5293,0.05,0.908,0.042,414.85,417.4,409.55,8956667.0
2001-02-15,422.7,-0.6973,0.086,0.86,0.055,415.0,425.4,413.0,14706855.0
2001-02-16,422.45,-0.9583,0.189,0.697,0.114,423.9,429.35,420.0,12684331.0
2001-02-19,425.35,-0.5994,0.088,0.855,0.057,423.0,427.05,418.5,6365686.0
2001-02-21,414.1,0.9673,0.044,0.821,0.135,423.05,424.85,412.1,7890074.0
2001-02-22,414.65,-0.9374,0.127,0.82,0.052,413.0,419.0,408.6,7787291.0
2001-02-23,411.3,0.498,0.095,0.801,0.104,415.05,420.6,409.6,7727518.0
